0.000 	 1.000 	 0.000 	 0.000 
0.010 	 1.000 	 0.000 	 0.000 
0.020 	 1.000 	 0.000 	 0.000 
0.030 	 1.000 	 0.000 	  NaN 
0.040 	 1.000 	 0.000 	 0.000 
0.050 	 1.000 	 0.000 	 0.000 
0.060 	 1.000 	 0.000 	 0.000 
0.070 	 1.000 	 0.000 	 0.000 
0.080 	 1.000 	 0.000 	 0.000 
0.090 	 1.000 	 0.000 	 0.000 
0.100 	 1.000 	 0.000 	 0.000 
0.110 	 1.000 	 0.000 	 0.000 
0.120 	 1.000 	 0.000 	 0.000 
0.130 	 1.000 	 0.000 	 0.000 
0.140 	 1.000 	 0.000 	 0.000 
0.150 	 1.000 	 0.000 	 0.000 
0.160 	 1.000 	 0.000 	 0.000 
0.170 	 1.000 	 0.000 	 0.000 
0.180 	 1.000 	 0.000 	 0.000 
0.190 	 1.000 	 0.000 	 0.000 
0.200 	 1.000 	 0.000 	 0.000 
0.210 	 1.000 	 0.000 	 0.000 
0.220 	 1.000 	 0.000 	 0.000 
0.230 	 1.000 	 0.000 	 0.000 
0.240 	 1.000 	 0.000 	 0.000 
0.250 	 1.000 	 0.000 	 0.000 
0.260 	 1.000 	 0.000 	 0.000 
0.270 	 1.000 	 0.000 	 0.000 
0.280 	 1.000 	 0.000 	 0.000 
0.290 	 1.000 	 0.000 	 0.000 
0.300 	 1.000 	 0.000 	 0.000 
0.310 	 1.000 	 0.000 	 0.000 
0.320 	 1.000 	 0.000 	 0.000 
0.330 	 1.000 	 0.000 	 0.000 
0.340 	 1.000 	 0.000 	 0.000 
0.350 	 1.000 	 0.000 	 0.000 
0.360 	 1.000 	 0.000 	 0.000 
0.370 	 1.000 	 0.000 	 0.000 
0.380 	 1.000 	 0.000 	 0.000 
0.390 	 1.000 	 0.000 	 0.000 
0.400 	 1.000 	 0.000 	 0.000 
0.410 	 1.000 	 0.000 	 0.000 
0.420 	 1.000 	 0.000 	 0.000 
0.430 	 1.000 	 0.000 	 0.000 
0.440 	 1.000 	 0.000 	 0.000 
0.450 	 1.000 	 0.000 	 0.000 
0.460 	 1.000 	 0.000 	 0.000 
0.470 	 1.000 	 0.000 	 0.000 
0.480 	 1.000 	 0.000 	 0.000 
0.490 	 1.000 	 0.000 	 0.000 
0.500 	 1.000 	 0.000 	 0.000 
0.510 	 1.000 	 0.000 	 0.000 
0.520 	 1.000 	 0.000 	 0.000 
0.530 	 1.000 	 0.000 	 0.000 
0.540 	 1.000 	 0.000 	 0.000 
0.550 	 1.000 	 0.000 	 0.000 
0.560 	 1.000 	 0.000 	 0.000 
0.570 	 1.000 	 0.000 	 0.000 
0.580 	 1.000 	 0.000 	 0.000 
0.590 	 1.000 	 0.000 	 0.000 
0.600 	 1.000 	 0.000 	 0.000 
0.610 	 1.000 	 0.000 	 0.000 
0.620 	 1.000 	 0.000 	 0.000 
