         rBB           TC       retneg
  0.00718245   0.18096000  15.87375238 
  0.00720246   0.18056000  15.91798792 
  0.00722248   0.18008000  15.96222345 
  0.00724249   0.17968000  16.00645899 
  0.00726251   0.17920000  16.05069453 
  0.00728253   0.17880000  16.09493007 
  0.00730254   0.17832000  16.13916560 
  0.00732256   0.17792000  16.18340114 
  0.00734257   0.17752000  16.22763668 
  0.00736259   0.17704000  16.27187222 
  0.00738260   0.17664000  16.31610775 
  0.00740262   0.17616000  16.36034329 
  0.00742263   0.17576000  16.40457883 
  0.00744265   0.17536000  16.44881436 
  0.00746266   0.17488000  16.49304990 
  0.00748268   0.17448000  16.53728544 
  0.00750269   0.17408000  16.58152098 
  0.00752271   0.17368000  16.62575651 
  0.00754273   0.17320000  16.66999205 
  0.00756274   0.17280000  16.71422759 
  0.00758276   0.17240000  16.75846312 
  0.00760277   0.17200000  16.80269866 
  0.00762279   0.17160000  16.84693420 
  0.00764280   0.17112000  16.89116974 
  0.00766282   0.17072000  16.93540527 
  0.00768283   0.17032000  16.97964081 
  0.00770285   0.16992000  17.02387635 
  0.00772286   0.16952000  17.06811188 
  0.00774288   0.16912000  17.11234742 
  0.00776289   0.16872000  17.15658296 
  0.00778291   0.16832000  17.20081850 
  0.00780293   0.16792000  17.24505403 
  0.00782294   0.16752000  17.28928957 
  0.00784296   0.16712000  17.33352511 
  0.00786297   0.16672000  17.37776064 
  0.00788299   0.16632000  17.42199618 
  0.00790300   0.16592000  17.46623172 
  0.00792302   0.16552000  17.51046726 
  0.00794303   0.16512000  17.55470279 
  0.00796305   0.16472000  17.59893833 
  0.00798306   0.16432000  17.64317387 
  0.00800308   0.16392000  17.68740940 
  0.00802309   0.16352000  17.73164494 
  0.00804311   0.16312000  17.77588048 
  0.00806313   0.16272000  17.82011602 
  0.00808314   0.16232000  17.86435155 
  0.00810316   0.16200000  17.90858709 
  0.00812317   0.16160000  17.95282263 
  0.00814319   0.16120000  17.99705817 
  0.00816320   0.16080000  18.04129370 
  0.00818322   0.16040000  18.08552924 
  0.00820323   0.16008000  18.12976478 
  0.00822325   0.15968000  18.17400031 
  0.00824326   0.15928000  18.21823585 
  0.00826328   0.15896000  18.26247139 
  0.00828329   0.15856000  18.30670693 
  0.00830331   0.15816000  18.35094246 
  0.00832333   0.15776000  18.39517800 
  0.00834334   0.15744000  18.43941354 
  0.00836336   0.15704000  18.48364907 
  0.00838337   0.15672000  18.52788461 
  0.00840339   0.15632000  18.57212015 
  0.00842340   0.15592000  18.61635569 
  0.00844342   0.15560000  18.66059122 
  0.00846343   0.15520000  18.70482676 
  0.00848345   0.15488000  18.74906230 
  0.00850346   0.15448000  18.79329783 
  0.00852348   0.15408000  18.83753337 
  0.00854349   0.15376000  18.88176891 
  0.00856351   0.15336000  18.92600445 
  0.00858353   0.15304000  18.97023998 
  0.00860354   0.15264000  19.01447552 
  0.00862356   0.15232000  19.05871106 
  0.00864357   0.15192000  19.10294659 
  0.00866359   0.15160000  19.14718213 
  0.00868360   0.15128000  19.19141767 
  0.00870362   0.15088000  19.23565321 
  0.00872363   0.15056000  19.27988874 
  0.00874365   0.15016000  19.32412428 
  0.00876366   0.14984000  19.36835982 
  0.00878368   0.14952000  19.41259535 
  0.00880370   0.14912000  19.45683089 
  0.00882371   0.14880000  19.50106643 
  0.00884373   0.14840000  19.54530197 
  0.00886374   0.14808000  19.58953750 
  0.00888376   0.14776000  19.63377304 
  0.00890377   0.14736000  19.67800858 
  0.00892379   0.14704000  19.72224412 
  0.00894380   0.14672000  19.76647965 
  0.00896382   0.14640000  19.81071519 
  0.00898383   0.14600000  19.85495073 
  0.00900385   0.14568000  19.89918626 
  0.00902386   0.14536000  19.94342180 
  0.00904388   0.14504000  19.98765734 
  0.00906390   0.14464000  20.03189288 
  0.00908391   0.14432000  20.07612841 
  0.00910393   0.14400000  20.12036395 
  0.00912394   0.14368000  20.16459949 
  0.00914396   0.14336000  20.20883502 
  0.00916397   0.14304000  20.25307056 
  0.00918399   0.14264000  20.29730610 
  0.00920400   0.14232000  20.34154164 
  0.00922402   0.14200000  20.38577717 
  0.00924403   0.14168000  20.43001271 
  0.00926405   0.14136000  20.47424825 
  0.00928406   0.14104000  20.51848378 
  0.00930408   0.14072000  20.56271932 
  0.00932410   0.14040000  20.60695486 
  0.00934411   0.14008000  20.65119040 
  0.00936413   0.13976000  20.69542593 
  0.00938414   0.13944000  20.73966147 
  0.00940416   0.13912000  20.78389701 
  0.00942417   0.13880000  20.82813254 
  0.00944419   0.13848000  20.87236808 
  0.00946420   0.13816000  20.91660362 
  0.00948422   0.13784000  20.96083916 
  0.00950423   0.13752000  21.00507469 
  0.00952425   0.13720000  21.04931023 
  0.00954426   0.13688000  21.09354577 
  0.00956428   0.13656000  21.13778130 
  0.00958430   0.13624000  21.18201684 
  0.00960431   0.13592000  21.22625238 
  0.00962433   0.13560000  21.27048792 
  0.00964434   0.13528000  21.31472345 
  0.00966436   0.13496000  21.35895899 
  0.00968437   0.13464000  21.40319453 
